u,v,key,osmid,ref,name,highway,maxspeed,oneway,length,geometry,lanes,tunnel,bridge,width,access,area,service
199758,199751,0,"[576889191, 126046671]",,Friedrich-Schmidt-Platz,secondary,50,True,185.496,"LINESTRING (16.3554663 48.2102275, 16.3555029 48.2103968, 16.3555439 48.2105687, 16.3556759 48.2111758, 16.3558015 48.2117531, 16.3558256 48.2118784)","['3', '2']",,,,,,
378036,270328404,0,25585678,,Schönbrunner Schlossbrücke,secondary,,True,15.418,"LINESTRING (16.3134706 48.1880344, 16.3134003 48.1879039)",,,,,,,
378048,378047,0,4579920,,Braunschweiggasse,residential,30,True,237.034,"LINESTRING (16.2948757 48.1894793, 16.2948512 48.1894168, 16.294817 48.1893294, 16.2947729 48.1885685, 16.2947709 48.188534, 16.2947024 48.1873541)",,,,,,,
378458,401281734,0,28798326,,Neubaugürtel,tertiary,50,True,46.614000000000004,"LINESTRING (16.3373092 48.2007966, 16.3375946 48.2008361, 16.3378158 48.2008716, 16.3379227 48.2008887)",2,,,,,,
393729,3491570801,0,"[342128616, 27187590]",,Stadlergasse,"['cycleway', 'tertiary']",30,True,232.40699999999998,"LINESTRING (16.283733 48.1824004, 16.2824503 48.1829649, 16.2824536 48.1829356, 16.283742 48.1823566)",,,,,,,
394751,1382698553,0,"[5010794, 23713388]",,"['Schulgasse', 'Semperstraße']",secondary,30,True,136.387,"LINESTRING (16.3480705 48.2253177, 16.3480679 48.2253044, 16.3479451 48.224684, 16.348777 48.2246222, 16.3488214 48.2246194)","['1', '2']",,,,,,
394803,2888610555,0,4583409,,Heigerleinstraße,tertiary,50,True,25.658,"LINESTRING (16.3157593 48.2238422, 16.3156229 48.2236301)",,,,,,,
395235,2103417852,0,"[678014220, 678014223, 4580050, 678014226, 589021459, 678014229, 589021465]",,Anton-Baumgartner-Straße,secondary,50,True,580.2230000000001,"LINESTRING (16.3172247 48.1511626, 16.3170311 48.1511352, 16.3169832 48.1511283, 16.3169298 48.1511207, 16.3168403 48.1511086, 16.3167318 48.1510939, 16.3165922 48.151076, 16.3164579 48.1510573, 16.3163337 48.1510409, 16.3161518 48.1510149, 16.3160279 48.1509975, 16.3159571 48.1509862, 16.3158405 48.1509657, 16.3157243 48.1509434, 16.3155776 48.150912, 16.3154672 48.1508875, 16.3153452 48.1508581, 16.3151982 48.1508196, 16.3149678 48.1507578, 16.31448 48.1506207, 16.3144011 48.1506, 16.3143166 48.1505804, 16.3141493 48.1505423, 16.3140666 48.1505213, 16.3134884 48.15036, 16.3134391 48.1503462, 16.313328 48.1503145, 16.3132249 48.1502781, 16.3131032 48.1502395, 16.3119299 48.1499174, 16.3117387 48.1498617, 16.311454 48.1497722, 16.3113089 48.1497243, 16.3111888 48.149682, 16.3110729 48.1496416, 16.3108809 48.149568, 16.3106531 48.1494753, 16.310467 48.1493921, 16.3103258 48.1493238, 16.3102416 48.1492803, 16.3101262 48.1492173, 16.3100556 48.1491757)","['3', '2']",,,,,,
621237,2957298352,0,279187637,B12,Brunner Straße,primary,50,False,68.57600000000001,"LINESTRING (16.2979695 48.1412234, 16.2979824 48.1411143, 16.2979863 48.1410821, 16.2979985 48.1409821, 16.2980276 48.1407441, 16.2980448 48.140668, 16.2980639 48.1406105)",5,,,,,,
1639267,381088,0,"[680683874, 279187639, 589022855, 279193642, 680683884, 680683885, 680683888, 680683863, 680683891, 30434612, 680683895, 680683864, 680683897, 680683869, 290018398, 680683871]",B12,Brunner Straße,primary,50,True,873.7299999999999,"LINESTRING (16.2980549 48.1294425, 16.2980566 48.1295662, 16.2980567 48.1296971, 16.2980501 48.1297961, 16.2980421 48.1298576, 16.2980057 48.130034, 16.2979557 48.1304887, 16.2979434 48.1308726, 16.2979482 48.1309882, 16.2979544 48.13117, 16.2979915 48.1317321, 16.2980095 48.1320262, 16.2980256 48.1323093, 16.2980289 48.1323649, 16.2980596 48.1329078, 16.2980627 48.1329621, 16.2980697 48.133105, 16.2980713 48.1331933, 16.2980779 48.1334187, 16.298076 48.1336148, 16.2980754 48.1336805, 16.298081 48.1339703, 16.2980979 48.1348515, 16.2980996 48.1349393, 16.2981189 48.1358843, 16.2981256 48.1361203, 16.2981296 48.13627, 16.2981434 48.1366803, 16.2981695 48.1371228, 16.2981704 48.1371384, 16.2981819 48.1371766, 16.2982162 48.1372914)","['3', '2']",,,,,,
9697684,1997092277,0,"[36335651, 146053476, 178770916, 2240388, 36907900]",,Kendlerstraße,"['cycleway', 'tertiary']",30,False,226.235,"LINESTRING (16.3083134 48.2018712, 16.3083849 48.2019822, 16.308666 48.2024192, 16.308881 48.2029947, 16.3089321 48.2031083, 16.3089715 48.2031954, 16.3090009 48.2032754, 16.3090438 48.2033931, 16.3091593 48.2037175, 16.3090194 48.2037501)",,,,,,,
9900518,59843161,0,21031865,,,cycleway,,False,81.463,"LINESTRING (16.427834 48.3016861, 16.4274785 48.3016762, 16.4269672 48.3016992, 16.4267503 48.3017559)",,,,,,,
9900518,221766387,0,41550665,,,cycleway,,False,476.29200000000003,"LINESTRING (16.427834 48.3016861, 16.4275366 48.3016426, 16.4273228 48.3015607, 16.4272371 48.3015037, 16.4271545 48.3014319, 16.4270708 48.3012863, 16.4270462 48.3011099, 16.4270752 48.3009069, 16.4271341 48.3006367, 16.4271621 48.3004245, 16.4271653 48.3002684, 16.427165 48.3000322, 16.4271921 48.2998481, 16.4272198 48.2997475, 16.4272323 48.2997021, 16.4272983 48.2995526, 16.4273509 48.2993621, 16.4273906 48.2992048, 16.427377 48.2990301, 16.4273744 48.2989964, 16.4273143 48.2987976, 16.4272097 48.2984679, 16.4271899 48.2983083, 16.4272801 48.297732)",,,,,,,
9900518,247330328,0,238969038,,,cycleway,,False,62.393,"LINESTRING (16.427834 48.3016861, 16.428214 48.3016943, 16.4286721 48.3017404)",,,,,,,
10300436,381415,0,"[162378277, 290018391]",B224,Altmannsdorfer Straße,primary,50,True,234.21500000000003,"LINESTRING (16.3206302 48.1519418, 16.3205991 48.1520333, 16.320568 48.1521246, 16.3204877 48.1523771, 16.3200024 48.154006)",2,,,,,,
10300436,10300441,0,162378284,,Anton-Baumgartner-Straße,secondary,50,True,55.816,"LINESTRING (16.3206302 48.1519418, 16.320792 48.1519676, 16.3210533 48.1520121, 16.3213563 48.1520728)",2,,,,,,
17314950,4245904641,0,"[426075637, 82329423, 34748247]",,Wehlistraße,residential,30,False,344.10799999999995,"LINESTRING (16.4268872 48.2086444, 16.42709 48.2085116, 16.4283258 48.2076269, 16.4284493 48.2075374, 16.4288409 48.2072535, 16.4296537 48.2066901, 16.4297884 48.2065967, 16.4298934 48.2065168, 16.4300634 48.2063875)",,,,,,,
