u,v,key,osmid,highway,oneway,length,geometry,name,maxspeed,access,service,lanes,tunnel
2916981076,3086969794,0,288148082,cycleway,False,27.992,"LINESTRING (106.9461152 47.9000965, 106.9459845 47.8998605)",Дугуйн зам,,,,,
2916981082,2916981073,0,288148082,cycleway,False,84.533,"LINESTRING (106.9542087 47.9003303, 106.9551884 47.8999475)",Дугуйн зам,,,,,
2916981082,2916981101,0,288148082,cycleway,False,72.069,"LINESTRING (106.9542087 47.9003303, 106.953465 47.9007444)",Дугуйн зам,,,,,
2916981083,3086947898,0,288148082,cycleway,False,22.2,"LINESTRING (106.9462678 47.9003954, 106.946301 47.9005938)",Дугуйн зам,,,,,
2916981083,3086969797,0,288148082,cycleway,False,26.877,"LINESTRING (106.9462678 47.9003954, 106.9461511 47.9001667)",Дугуйн зам,,,,,
2916981101,2916981082,0,288148082,cycleway,False,72.069,"LINESTRING (106.953465 47.9007444, 106.9542087 47.9003303)",Дугуйн зам,,,,,
2916981101,2916981172,0,288148082,cycleway,False,73.445,"LINESTRING (106.953465 47.9007444, 106.9528127 47.9012394)",Дугуйн зам,,,,,
2916981142,2916981185,0,288148082,cycleway,False,35.649,"LINESTRING (106.9463524 47.9011965, 106.9464155 47.9015143)",Дугуйн зам,,,,,
2916981142,2916981152,0,288148082,cycleway,False,26.99,"LINESTRING (106.9463524 47.9011965, 106.9463407 47.9009539)",Дугуйн зам,,,,,
2916981152,2916981142,0,288148082,cycleway,False,26.99,"LINESTRING (106.9463407 47.9009539, 106.9463524 47.9011965)",Дугуйн зам,,,,,
2916981152,3086947898,0,288148082,cycleway,False,40.151,"LINESTRING (106.9463407 47.9009539, 106.946301 47.9005938)",Дугуйн зам,,,,,
2916981172,2916981101,0,288148082,cycleway,False,73.445,"LINESTRING (106.9528127 47.9012394, 106.953465 47.9007444)",Дугуйн зам,,,,,
2916981172,2916981209,0,288148082,cycleway,False,37.702,"LINESTRING (106.9528127 47.9012394, 106.9525025 47.9015072)",Дугуйн зам,,,,,
2916981185,2916981229,0,288148082,cycleway,False,38.927,"LINESTRING (106.9464155 47.9015143, 106.9465952 47.901843)",Дугуйн зам,,,,,
2916981185,2916981142,0,288148082,cycleway,False,35.649,"LINESTRING (106.9464155 47.9015143, 106.9463524 47.9011965)",Дугуйн зам,,,,,
