u,v,key,osmid,highway,oneway,length,geometry,name
2916981037,2916981039,0,288148082,cycleway,False,36.086,"LINESTRING (106.9430181 47.8971279, 106.9431264 47.8974442)",Дугуйн зам
2916981037,2916981035,0,288148082,cycleway,False,24.906,"LINESTRING (106.9430181 47.8971279, 106.9429852 47.896905)",Дугуйн зам
2916981039,2916981041,0,288148082,cycleway,False,36.116,"LINESTRING (106.9431264 47.8974442, 106.9432752 47.8977533)",Дугуйн зам
2916981039,2916981037,0,288148082,cycleway,False,36.086,"LINESTRING (106.9431264 47.8974442, 106.9430181 47.8971279)",Дугуйн зам
2916981040,2916981036,0,288148082,cycleway,False,59.658,"LINESTRING (106.9589237 47.8975209, 106.9586172 47.8970253)",Дугуйн зам
2916981040,2916981043,0,288148082,cycleway,False,41.783,"LINESTRING (106.9589237 47.8975209, 106.9589658 47.8978956)",Дугуйн зам
2916981041,2925739474,0,288148082,cycleway,False,17.623,"LINESTRING (106.9432752 47.8977533, 106.9434076 47.8978846)",Дугуйн зам
2916981041,2916981039,0,288148082,cycleway,False,36.116,"LINESTRING (106.9432752 47.8977533, 106.9431264 47.8974442)",Дугуйн зам
2916981043,2916981040,0,288148082,cycleway,False,41.783,"LINESTRING (106.9589658 47.8978956, 106.9589237 47.8975209)",Дугуйн зам
2916981043,2916981046,0,288148082,cycleway,False,42.586,"LINESTRING (106.9589658 47.8978956, 106.9588816 47.8982744)",Дугуйн зам
2916981045,2916981047,0,288148082,cycleway,False,28.591,"LINESTRING (106.9437697 47.8982065, 106.9440456 47.8983851)",Дугуйн зам
2916981045,2925739474,0,288148082,cycleway,False,44.832,"LINESTRING (106.9437697 47.8982065, 106.9434076 47.8978846)",Дугуйн зам
2916981046,2916981043,0,288148082,cycleway,False,42.586,"LINESTRING (106.9588816 47.8982744, 106.9589658 47.8978956)",Дугуйн зам
2916981046,2916981048,0,288148082,cycleway,False,44.617,"LINESTRING (106.9588816 47.8982744, 106.958698 47.8986563)",Дугуйн зам
2916981047,2916981049,0,288148082,cycleway,False,51.153,"LINESTRING (106.9440456 47.8983851, 106.9446006 47.8986556)",Дугуйн зам
2916981047,2916981045,0,288148082,cycleway,False,28.591,"LINESTRING (106.9440456 47.8983851, 106.9437697 47.8982065)",Дугуйн зам
2916981048,2916981046,0,288148082,cycleway,False,44.617,"LINESTRING (106.958698 47.8986563, 106.9588816 47.8982744)",Дугуйн зам
2916981048,2916981053,0,288148082,cycleway,False,64.865,"LINESTRING (106.958698 47.8986563, 106.9581498 47.8991093)",Дугуйн зам
2916981049,2916981051,0,288148082,cycleway,False,30.279,"LINESTRING (106.9446006 47.8986556, 106.9449168 47.8988265)",Дугуйн зам
2916981049,2916981047,0,288148082,cycleway,False,51.153,"LINESTRING (106.9446006 47.8986556, 106.9440456 47.8983851)",Дугуйн зам
2916981051,3086969762,0,288148082,cycleway,False,21.965,"LINESTRING (106.9449168 47.8988265, 106.945126 47.8989656)",Дугуйн зам
2916981051,2916981049,0,288148082,cycleway,False,30.279,"LINESTRING (106.9449168 47.8988265, 106.9446006 47.8986556)",Дугуйн зам
2916981053,2916981048,0,288148082,cycleway,False,64.865,"LINESTRING (106.9581498 47.8991093, 106.958698 47.8986563)",Дугуйн зам
2916981053,2916981055,0,288148082,cycleway,False,46.707,"LINESTRING (106.9581498 47.8991093, 106.9576569 47.8993686)",Дугуйн зам
2916981054,3086969529,0,288148082,cycleway,False,32.531,"LINESTRING (106.9453073 47.8990861, 106.9455783 47.8993154)",Дугуйн зам
