u,v,key,osmid,name,highway,maxspeed,oneway,length,geometry,access,service,lanes,tunnel
1776770704,6226234816,0,166194521,,residential,20,False,2.463,"LINESTRING (106.9303495 47.9152169, 106.9303353 47.9151969)",,,,
1776770704,6226234817,0,166194521,,residential,20,False,2.708,"LINESTRING (106.9303495 47.9152169, 106.9303769 47.9152329)",,,,
1776770706,6226234815,0,166194521,,residential,20,False,2.727,"LINESTRING (106.930747 47.915251, 106.9307146 47.9152396)",,,,
1776770706,6226234814,0,166194521,,residential,20,False,1.702,"LINESTRING (106.930747 47.915251, 106.9307593 47.9152639)",,,,
1776770708,6226234818,0,166194521,,residential,20,False,65.408,"LINESTRING (106.9304915 47.9166241, 106.9305526 47.9160373)",,,,
1776770708,6226234820,0,166194521,,residential,20,False,3.339,"LINESTRING (106.9304915 47.9166241, 106.9305123 47.9166507)",,,,
1776770732,6226234819,0,166194521,,residential,20,False,6.043,"LINESTRING (106.930629 47.9166658, 106.9305485 47.9166593)",,,,
1776770732,1776770744,0,166194521,,residential,20,False,71.919,"LINESTRING (106.930629 47.9166658, 106.9305637 47.9173111)",,,,
1776770735,3148657423,0,166194521,,residential,20,False,14.648,"LINESTRING (106.9318143 47.9176166, 106.9318184 47.9174849)",,,,
1776770735,7305750098,0,166194521,,residential,20,False,19.84,"LINESTRING (106.9318143 47.9176166, 106.9318044 47.9177949)",,,,
1776770737,1776770741,0,166194521,,residential,20,False,18.293,"LINESTRING (106.9305701 47.9160115, 106.9307422 47.9158942)",,,,
1776770737,6226234818,0,166194521,,residential,20,False,3.151,"LINESTRING (106.9305701 47.9160115, 106.9305526 47.9160373)",,,,
1776770739,2921518399,0,166194521,,residential,20,False,30.803,"LINESTRING (106.9310769 47.9173516, 106.9306642 47.9173362)",,,,
1776770739,1776770702,0,166194521,,residential,20,False,45.112,"LINESTRING (106.9310769 47.9173516, 106.9316811 47.9173765)",,,,
1776770741,1776770699,0,166194521,,residential,20,False,5.739,"LINESTRING (106.9307422 47.9158942, 106.9307756 47.9158477)",,,,
1776770741,1776770737,0,166194521,,residential,20,False,18.293,"LINESTRING (106.9307422 47.9158942, 106.9305701 47.9160115)",,,,
1776770744,1776770732,0,166194521,,residential,20,False,71.919,"LINESTRING (106.9305637 47.9173111, 106.930629 47.9166658)",,,,
1776770744,6226234812,0,166194521,,residential,20,False,1.654,"LINESTRING (106.9305637 47.9173111, 106.9305703 47.9173253)",,,,
1776774436,1776774437,0,166194653,,residential,20,False,22.635,"LINESTRING (106.933589 47.9152414, 106.9338906 47.9152654)",,,,
1776774436,1776774451,0,166194653,,residential,20,False,40.516,"LINESTRING (106.933589 47.9152414, 106.9330457 47.9152284)",,,,
1776774436,4119194415,0,410055481,,residential,20,False,37.283,"LINESTRING (106.933589 47.9152414, 106.9335681 47.9155764)",,,,
1776774437,6226234808,0,166194653,,residential,20,False,4.898,"LINESTRING (106.9338906 47.9152654, 106.9339563 47.9152643)",,,,
