u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name,maxspeed,lanes,service,access,ref
6652933091,6652933092,0,708020321,service,False,24.203,"LINESTRING (69.3487116 41.2976398, 69.34848359999999 41.2977741)",,,,20,2,,,
6652933091,6652933090,0,708020321,service,False,35.982,"LINESTRING (69.3487116 41.2976398, 69.34847120000001 41.2973713)",,,,20,2,,,
6652933092,6652933091,0,708020321,service,False,24.203,"LINESTRING (69.34848359999999 41.2977741, 69.3487116 41.2976398)",,,,20,2,,,
6652933092,6652835783,0,708020645,service,False,34.878,"LINESTRING (69.34848359999999 41.2977741, 69.3481312 41.2979423)",,,,20,2,,,
6652933093,6652933094,0,708020322,service,False,78.791,"LINESTRING (69.348311 41.2973065, 69.3476498 41.2968012)",,,,20,2,,,
6652933093,6652933090,0,708020322,service,False,15.2,"LINESTRING (69.348311 41.2973065, 69.34847120000001 41.2973713)",,,,20,2,,,
6652933094,6652933095,0,708020322,service,False,30.01,"LINESTRING (69.3476498 41.2968012, 69.34794479999999 41.2966472)",,,,20,2,,,
6652933094,6652933093,0,708020322,service,False,78.791,"LINESTRING (69.3476498 41.2968012, 69.348311 41.2973065)",,,,20,2,,,
6652933094,6652835781,0,708020644,service,False,16.373,"LINESTRING (69.3476498 41.2968012, 69.3474726 41.2968641)",,,,20,2,,,
6652933095,6652933094,0,708020322,service,False,30.01,"LINESTRING (69.34794479999999 41.2966472, 69.3476498 41.2968012)",,,,20,2,,,
6652933098,6652933089,0,708020321,service,False,3.361,"LINESTRING (69.34862800000001 41.2972784, 69.3485883 41.2972833)",,,,20,2,,,
6652933098,6652933088,0,708020321,service,False,21.69,"LINESTRING (69.34862800000001 41.2972784, 69.34888410000001 41.2972463)",,,,20,2,,,
6652939908,6652939909,0,708021349,service,True,40.159,"LINESTRING (69.352119 41.2954286, 69.3517629 41.2956712)",,,,20,2,,,
6652939909,6652939910,0,708021350,service,False,166.412,"LINESTRING (69.3517629 41.2956712, 69.3504217 41.2945647)",,,,20,2,,,
6652939909,6652939913,0,708021351,service,False,33.053,"LINESTRING (69.3517629 41.2956712, 69.3513768 41.2957361)",,,,20,2,,,
6652939910,6652939911,0,708021350,service,False,73.913,"LINESTRING (69.3504217 41.2945647, 69.34980539999999 41.2950416)",,,,20,2,,,
6652939910,6652939909,0,708021350,service,False,166.412,"LINESTRING (69.3504217 41.2945647, 69.3517629 41.2956712)",,,,20,2,,,
6652939911,6652939912,0,708021350,service,False,16.416,"LINESTRING (69.34980539999999 41.2950416, 69.349676 41.2951527)",,,,20,2,,,
6652939911,6652939910,0,708021350,service,False,73.913,"LINESTRING (69.34980539999999 41.2950416, 69.3504217 41.2945647)",,,,20,2,,,
6652939912,5217642055,0,708021350,service,False,45.351,"LINESTRING (69.349676 41.2951527, 69.3492818 41.2948723)",,,,20,2,,,
6652939912,6652939911,0,708021350,service,False,16.416,"LINESTRING (69.349676 41.2951527, 69.34980539999999 41.2950416)",,,,20,2,,,
6652939912,6652939930,0,708021354,service,False,32.383,"LINESTRING (69.349676 41.2951527, 69.34994399999999 41.2953631)",,,,20,2,,,
6652939913,6652939914,0,708021351,service,False,20.728,"LINESTRING (69.3513768 41.2957361, 69.3511549 41.2956527)",,,,20,2,,,
6652939913,6652939909,0,708021351,service,False,33.053,"LINESTRING (69.3513768 41.2957361, 69.3517629 41.2956712)",,,,20,2,,,
6652939914,6652939929,0,708021351,service,False,9.366,"LINESTRING (69.3511549 41.2956527, 69.3510464 41.2956315)",,,,20,2,,,
6652939914,6652939913,0,708021351,service,False,20.728,"LINESTRING (69.3511549 41.2956527, 69.3513768 41.2957361)",,,,20,2,,,
6652939916,6652939917,0,708021351,service,False,13.864,"LINESTRING (69.35029230000001 41.296324, 69.350206 41.2964305)",,,,20,2,,,
6652939916,6652939922,0,708021351,service,False,11.174,"LINESTRING (69.35029230000001 41.296324, 69.3503943 41.296259)",,,,20,2,,,
6652939917,6652939918,0,708021351,service,False,31.647,"LINESTRING (69.350206 41.2964305, 69.35043450000001 41.2966575)",,,,20,2,,,
6652939917,6652939916,0,708021351,service,False,13.864,"LINESTRING (69.350206 41.2964305, 69.35029230000001 41.296324)",,,,20,2,,,
6652939918,6652939919,0,708021351,service,False,34.483,"LINESTRING (69.35043450000001 41.2966575, 69.3507238 41.2964363)",,,,20,2,,,
6652939918,6652939917,0,708021351,service,False,31.647,"LINESTRING (69.35043450000001 41.2966575, 69.350206 41.2964305)",,,,20,2,,,
6652939919,6652939920,0,708021351,service,False,11.09,"LINESTRING (69.3507238 41.2964363, 69.3506014 41.2963977)",,,,20,2,,,
6652939919,6652939918,0,708021351,service,False,34.483,"LINESTRING (69.3507238 41.2964363, 69.35043450000001 41.2966575)",,,,20,2,,,
6652939920,6652939921,0,708021351,service,False,6.757,"LINESTRING (69.3506014 41.2963977, 69.3505404 41.2963578)",,,,20,2,,,
6652939920,6652939919,0,708021351,service,False,11.09,"LINESTRING (69.3506014 41.2963977, 69.3507238 41.2964363)",,,,20,2,,,
6652939921,6652939922,0,708021351,service,False,16.422,"LINESTRING (69.3505404 41.2963578, 69.3503943 41.296259)",,,,20,2,,,
6652939921,6652939920,0,708021351,service,False,6.757,"LINESTRING (69.3505404 41.2963578, 69.3506014 41.2963977)",,,,20,2,,,
6652939922,6652939916,0,708021351,service,False,11.174,"LINESTRING (69.3503943 41.296259, 69.35029230000001 41.296324)",,,,20,2,,,
6652939922,6652939923,0,708021351,service,False,17.631,"LINESTRING (69.3503943 41.296259, 69.3505552 41.2961564)",,,,20,2,,,
6652939922,6652939921,0,708021351,service,False,16.422,"LINESTRING (69.3503943 41.296259, 69.3505404 41.2963578)",,,,20,2,,,
6652939923,6652939922,0,708021351,service,False,17.631,"LINESTRING (69.3505552 41.2961564, 69.3503943 41.296259)",,,,20,2,,,
6652939923,6652939927,0,708021351,service,False,51.566,"LINESTRING (69.3505552 41.2961564, 69.3509693 41.2958125)",,,,20,2,,,
6652939923,6652939924,0,708021352,service,False,95.85,"LINESTRING (69.3505552 41.2961564, 69.34976380000001 41.2955323)",,,,20,20,,,
