u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name,maxspeed,lanes,service,access,ref
6652857284,6652857280,0,708018622,service,False,207.92899999999997,"LINESTRING (69.3657965 41.2957384, 69.36613440000001 41.2958735, 69.36647240000001 41.2959782, 69.36595199999999 41.2965727, 69.3652761 41.2962604)",,,,20,2,,,
6652913385,6652857279,0,708018622,service,False,88.514,"LINESTRING (69.3645131 41.2956774, 69.3653834 41.2961314)",,,,20,2,,,
6652913385,6652857279,1,708018627,service,False,117.25800000000001,"LINESTRING (69.3645131 41.2956774, 69.3647182 41.2955772, 69.36546389999999 41.2959339, 69.3653834 41.2961314)",,,,20,2,,,
6652913385,6652857275,0,708018623,service,False,36.134,"LINESTRING (69.3645131 41.2956774, 69.3642998 41.2959601)",,,,20,2,,,
6652913385,6652913391,0,708018622,service,False,39.868,"LINESTRING (69.3645131 41.2956774, 69.3643052 41.2955732, 69.3641409 41.2954552)",,,,20,2,,,
6652913386,6652857280,0,708018624,service,False,65.041,"LINESTRING (69.3648776 41.2967629, 69.3652761 41.2962604)",,,,20,2,,,
6652913387,6652857275,0,708018622,service,False,15.865,"LINESTRING (69.3642198 41.2960895, 69.3642998 41.2959601)",,,,20,2,,,
6652913387,6652857274,0,708018622,service,False,38.998,"LINESTRING (69.3642198 41.2960895, 69.36402320000001 41.2964076)",,,,20,2,,,
6652913387,6652913388,0,708018625,service,False,82.878,"LINESTRING (69.3642198 41.2960895, 69.3650615 41.296484)",,,,20,2,,,
6652913388,6652913387,0,708018625,service,False,82.878,"LINESTRING (69.3650615 41.296484, 69.3642198 41.2960895)",,,,20,2,,,
6652913391,6652857277,0,708018622,service,False,22.652,"LINESTRING (69.3641409 41.2954552, 69.3639216 41.2953354)",,,,20,2,,,
6652913391,6652857277,1,708018626,service,False,93.65599999999999,"LINESTRING (69.3641409 41.2954552, 69.36437220000001 41.2951772, 69.3641483 41.2950703, 69.3639216 41.2953354)",,,,20,2,,,
6652913391,6652913385,0,708018622,service,False,39.868,"LINESTRING (69.3641409 41.2954552, 69.3643052 41.2955732, 69.3645131 41.2956774)",,,,20,2,,,
6652928946,6652928977,0,708020313,service,False,42.404,"LINESTRING (69.3429628 41.2981884, 69.343126 41.2985495)",,,,20,2,,,
6652928950,7043128901,0,708020313,service,False,58.589999999999996,"LINESTRING (69.34402900000001 41.3000998, 69.3435042 41.300254, 69.3433758 41.3002917)",,,,20,2,,,
6652928950,6652928977,0,708020313,service,False,206.202,"LINESTRING (69.34402900000001 41.3000998, 69.3439482 41.2998944, 69.3437141 41.2992231, 69.34344299999999 41.2992509, 69.343126 41.2985495)",,,,20,2,,,
6652928950,6652928968,0,708020314,service,False,44.297,"LINESTRING (69.34402900000001 41.3000998, 69.3444104 41.3000194, 69.3444971 41.3000963)",,,,20,2,,,
6652928958,7043128900,0,708020314,service,False,12.683,"LINESTRING (69.34356390000001 41.3004128, 69.3434201 41.3004494)",,,,20,2,,,
6652928958,6652928968,0,708020314,service,False,118.34200000000001,"LINESTRING (69.34356390000001 41.3004128, 69.3440653 41.3002693, 69.3441639 41.3003897, 69.3444351 41.3003851, 69.34454599999999 41.3001397, 69.3444971 41.3000963)",,,,20,2,,,
6652928958,6652928967,0,708020315,service,False,180.798,"LINESTRING (69.34356390000001 41.3004128, 69.3436833 41.3006351, 69.3438866 41.3006767, 69.3440468 41.3008017, 69.34423169999999 41.3007369, 69.3444659 41.300686, 69.34466310000001 41.3005101, 69.3448418 41.3003943, 69.34494650000001 41.3002508, 69.3448664 41.3001166)",,,,20,2,,,
6652928967,6652928971,0,708020315,service,False,18.628,"LINESTRING (69.3448664 41.3001166, 69.344644 41.3001044)",,,,20,2,,,
6652928967,6652928958,0,708020315,service,False,180.798,"LINESTRING (69.3448664 41.3001166, 69.34494650000001 41.3002508, 69.3448418 41.3003943, 69.34466310000001 41.3005101, 69.3444659 41.300686, 69.34423169999999 41.3007369, 69.3440468 41.3008017, 69.3438866 41.3006767, 69.3436833 41.3006351, 69.34356390000001 41.3004128)",,,,20,2,,,
6652928967,6652928974,0,708020316,service,False,89.00999999999999,"LINESTRING (69.3448664 41.3001166, 69.3452916 41.2999592, 69.3458062 41.2997401)",,,,20,2,,,
6652928968,6652928971,0,708020315,service,False,12.305,"LINESTRING (69.3444971 41.3000963, 69.344644 41.3001044)",,,,20,2,,,
6652928968,6652928950,0,708020314,service,False,44.297,"LINESTRING (69.3444971 41.3000963, 69.3444104 41.3000194, 69.34402900000001 41.3000998)",,,,20,2,,,
6652928968,6652928958,0,708020314,service,False,118.342,"LINESTRING (69.3444971 41.3000963, 69.34454599999999 41.3001397, 69.3444351 41.3003851, 69.3441639 41.3003897, 69.3440653 41.3002693, 69.34356390000001 41.3004128)",,,,20,2,,,
6652928971,6652928968,0,708020315,service,False,12.305,"LINESTRING (69.344644 41.3001044, 69.3444971 41.3000963)",,,,20,2,,,
6652928971,6652928967,0,708020315,service,False,18.628,"LINESTRING (69.344644 41.3001044, 69.3448664 41.3001166)",,,,20,2,,,
6652928971,6652928975,0,708020317,service,False,47.882000000000005,"LINESTRING (69.344644 41.3001044, 69.3445583 41.2997462, 69.3446414 41.2997228)",,,,20,2,,,
6652928974,5602258009,0,708020316,service,False,72.978,"LINESTRING (69.3458062 41.2997401, 69.3458462 41.2997231, 69.3465279 41.2993705)",,,,20,2,,,
6652928974,6652928967,0,708020316,service,False,89.00999999999999,"LINESTRING (69.3458062 41.2997401, 69.3452916 41.2999592, 69.3448664 41.3001166)",,,,20,2,,,
6652928974,6652928975,0,708020317,service,False,123.846,"LINESTRING (69.3458062 41.2997401, 69.3456243 41.2994453, 69.3446414 41.2997228)",,,,20,2,,,
6652928975,6652928974,0,708020317,service,False,123.846,"LINESTRING (69.3446414 41.2997228, 69.3456243 41.2994453, 69.3458062 41.2997401)",,,,20,2,,,
6652928975,6652928971,0,708020317,service,False,47.882000000000005,"LINESTRING (69.3446414 41.2997228, 69.3445583 41.2997462, 69.344644 41.3001044)",,,,20,2,,,
6652928975,6652928977,0,708020318,service,False,236.635,"LINESTRING (69.3446414 41.2997228, 69.3439667 41.2983481, 69.343126 41.2985495)",,,,20,2,,,
6652928977,6652928946,0,708020313,service,False,42.404,"LINESTRING (69.343126 41.2985495, 69.3429628 41.2981884)",,,,20,2,,,
6652928977,6652928950,0,708020313,service,False,206.202,"LINESTRING (69.343126 41.2985495, 69.34344299999999 41.2992509, 69.3437141 41.2992231, 69.3439482 41.2998944, 69.34402900000001 41.3000998)",,,,20,2,,,
6652928977,6652928975,0,708020318,service,False,236.635,"LINESTRING (69.343126 41.2985495, 69.3439667 41.2983481, 69.3446414 41.2997228)",,,,20,2,,,
6652928978,6652928981,0,708020319,service,False,241.89100000000002,"LINESTRING (69.3452463 41.29704, 69.3460249 41.2978528, 69.3458277 41.2980565, 69.3466346 41.2987513)",,,,20,2,,,
6652928981,6652928982,0,708020319,service,False,48.802,"LINESTRING (69.3466346 41.2987513, 69.3462292 41.2990673)",,,,20,2,,,
6652928981,6652928983,0,708420261,service,False,39.138,"LINESTRING (69.3466346 41.2987513, 69.3469369 41.2984824)",,,,20,2,,,
6652928981,6652928978,0,708020319,service,False,241.89100000000002,"LINESTRING (69.3466346 41.2987513, 69.3458277 41.2980565, 69.3460249 41.2978528, 69.3452463 41.29704)",,,,20,2,,,
