u,v,key,osmid,highway,oneway,length,geometry,tunnel,bridge,name
5776368548,5776368532,0,149530740,cycleway,False,7.366,"LINESTRING (69.1983441 41.3606396, 69.1983213 41.3605756)",,,
5776368548,5776368542,0,149530740,cycleway,False,7.421,"LINESTRING (69.1983441 41.3606396, 69.1983833 41.3606995)",,,
5776368549,5776368543,0,149530740,cycleway,False,6.288,"LINESTRING (69.1983142 41.3605194, 69.1983237 41.3604633)",,,
5776368549,5776368532,0,149530740,cycleway,False,6.277,"LINESTRING (69.1983142 41.3605194, 69.1983213 41.3605756)",,,
5776368550,5776368534,0,149530740,cycleway,False,6.34,"LINESTRING (69.1983415 41.3604104, 69.198376 41.3603596)",,,
5776368550,5776368543,0,149530740,cycleway,False,6.067,"LINESTRING (69.1983415 41.3604104, 69.1983237 41.3604633)",,,
5776368551,5776368544,0,149530740,cycleway,False,7.057,"LINESTRING (69.19842509999999 41.3603129, 69.1984879 41.3602704)",,,
5776368551,5776368534,0,149530740,cycleway,False,6.615,"LINESTRING (69.19842509999999 41.3603129, 69.198376 41.3603596)",,,
5776368552,1624992469,0,149530740,cycleway,False,7.144,"LINESTRING (69.198559 41.36024, 69.1986383 41.3602158)",,,
5776368552,5776368544,0,149530740,cycleway,False,6.829,"LINESTRING (69.198559 41.36024, 69.1984879 41.3602704)",,,
5776368553,5776368540,0,149530740,cycleway,False,6.618,"LINESTRING (69.1994823 41.3601046, 69.1995606 41.360114)",,,
5776368553,1624992471,0,149530740,cycleway,False,6.552,"LINESTRING (69.1994823 41.3601046, 69.19940389999999 41.3601077)",,,
5776368554,5776368536,0,149530740,cycleway,False,6.375,"LINESTRING (69.19964210000001 41.3601283, 69.1997097 41.360155)",,,
5776368554,5776368540,0,149530740,cycleway,False,6.985,"LINESTRING (69.19964210000001 41.3601283, 69.1995606 41.360114)",,,
5776368555,5776368539,0,149530740,cycleway,False,6.892,"LINESTRING (69.1997772 41.3601941, 69.1998337 41.3602393)",,,
5776368555,5776368536,0,149530740,cycleway,False,7.116,"LINESTRING (69.1997772 41.3601941, 69.1997097 41.360155)",,,
5776368556,5776368531,0,149530740,cycleway,False,7.811,"LINESTRING (69.19987709999999 41.3603025, 69.1999039 41.3603698)",,,
5776368556,5776368539,0,149530740,cycleway,False,7.906,"LINESTRING (69.19987709999999 41.3603025, 69.1998337 41.3602393)",,,
5776368557,5776368538,0,149530740,cycleway,False,6.474,"LINESTRING (69.1999091 41.3604275, 69.1998978 41.3604851)",,,
5776368557,5776368531,0,149530740,cycleway,False,6.431,"LINESTRING (69.1999091 41.3604275, 69.1999039 41.3603698)",,,
5776368558,5776368535,0,149530740,cycleway,False,6.595,"LINESTRING (69.1998681 41.3605454, 69.1998301 41.3605974)",,,
5776368558,5776368538,0,149530740,cycleway,False,7.149,"LINESTRING (69.1998681 41.3605454, 69.1998978 41.3604851)",,,
5776368559,5776368537,0,149530740,cycleway,False,7.302,"LINESTRING (69.1997767 41.360643, 69.19970669999999 41.3606824)",,,
5776368559,5776368535,0,149530740,cycleway,False,6.751,"LINESTRING (69.1997767 41.360643, 69.1998301 41.3605974)",,,
5776368560,1624992401,0,149530740,cycleway,False,6.712,"LINESTRING (69.1996334 41.3607135, 69.19956019999999 41.3607385)",,,
5776368560,5776368537,0,149530740,cycleway,False,7.027,"LINESTRING (69.1996334 41.3607135, 69.19970669999999 41.3606824)",,,
5776368561,5776368637,0,609870685,cycleway,False,32.583,"LINESTRING (69.1995897 41.3604092, 69.1992053 41.3604604)",,,
5776368561,5776368561,0,609870683,cycleway,False,55.359999999999985,"LINESTRING (69.1995897 41.3604092, 69.1995938 41.3604224, 69.1996007 41.3604349, 69.1996104 41.3604463, 69.1996225 41.3604564, 69.1996367 41.3604647, 69.1996527 41.3604711, 69.1996698 41.3604753, 69.1996876 41.3604774, 69.1997056 41.3604771, 69.1997233 41.3604745, 69.19974019999999 41.3604697, 69.1997557 41.3604628, 69.1997695 41.360454, 69.199781 41.3604436, 69.1997901 41.3604319, 69.1997963 41.3604192, 69.19979960000001 41.3604059, 69.19979979999999 41.3603924, 69.199797 41.360379, 69.1997916 41.360367, 69.1997837 41.3603558, 69.1997736 41.3603457, 69.1997614 41.3603369, 69.19974759999999 41.3603296, 69.1997324 41.3603242, 69.1997162 41.3603206, 69.1996994 41.360319, 69.1996826 41.3603194, 69.19966599999999 41.3603218, 69.19965019999999 41.3603261, 69.1996355 41.3603323, 69.19962219999999 41.3603402, 69.1996109 41.3603496, 69.19960159999999 41.3603602, 69.19959470000001 41.3603718, 69.19959040000001 41.360384, 69.19958870000001 41.3603966, 69.1995897 41.3604092)",,,
5776368561,5776368561,1,609870683,cycleway,False,55.36,"LINESTRING (69.1995897 41.3604092, 69.19958870000001 41.3603966, 69.19959040000001 41.360384, 69.19959470000001 41.3603718, 69.19960159999999 41.3603602, 69.1996109 41.3603496, 69.19962219999999 41.3603402, 69.1996355 41.3603323, 69.19965019999999 41.3603261, 69.19966599999999 41.3603218, 69.1996826 41.3603194, 69.1996994 41.360319, 69.1997162 41.3603206, 69.1997324 41.3603242, 69.19974759999999 41.3603296, 69.1997614 41.3603369, 69.1997736 41.3603457, 69.1997837 41.3603558, 69.1997916 41.360367, 69.199797 41.360379, 69.19979979999999 41.3603924, 69.19979960000001 41.3604059, 69.1997963 41.3604192, 69.1997901 41.3604319, 69.199781 41.3604436, 69.1997695 41.360454, 69.1997557 41.3604628, 69.19974019999999 41.3604697, 69.1997233 41.3604745, 69.1997056 41.3604771, 69.1996876 41.3604774, 69.1996698 41.3604753, 69.1996527 41.3604711, 69.1996367 41.3604647, 69.1996225 41.3604564, 69.1996104 41.3604463, 69.1996007 41.3604349, 69.1995938 41.3604224, 69.1995897 41.3604092)",,,
5776368599,5776368638,0,609870686,cycleway,False,24.062,"LINESTRING (69.19913219999999 41.3605303, 69.19917839999999 41.3607439)",,,
5776368599,5776368637,0,609870684,cycleway,False,10.955,"LINESTRING (69.19913219999999 41.3605303, 69.19914609999999 41.3605281, 69.1991591 41.3605241, 69.1991713 41.3605187, 69.1991819 41.3605114, 69.199191 41.3605036, 69.1991977 41.3604942, 69.199203 41.3604845, 69.1992058 41.3604743, 69.199206 41.3604636, 69.1992053 41.3604604)",,,
5776368599,5776368642,0,609870684,cycleway,False,10.226999999999999,"LINESTRING (69.19913219999999 41.3605303, 69.19911829999999 41.3605308, 69.1991039 41.360529, 69.1990907 41.3605264, 69.1990783 41.3605214, 69.19906659999999 41.3605156, 69.1990569 41.360508, 69.1990486 41.3604994, 69.1990431 41.3604896, 69.19904 41.3604825)",,,
5776368637,5776368561,0,609870685,cycleway,False,32.583,"LINESTRING (69.1992053 41.3604604, 69.1995897 41.3604092)",,,
5776368637,5776368640,0,609870684,cycleway,False,11.778,"LINESTRING (69.1992053 41.3604604, 69.19920380000001 41.3604533, 69.1991999 41.3604434, 69.1991934 41.3604342, 69.1991854 41.3604258, 69.1991755 41.3604188, 69.1991642 41.3604126, 69.1991519 41.3604081, 69.1991384 41.3604052, 69.199125 41.3604042, 69.19911089999999 41.3604045, 69.1991038 41.3604057)",,,
5776368637,5776368599,0,609870684,cycleway,False,10.955,"LINESTRING (69.1992053 41.3604604, 69.199206 41.3604636, 69.1992058 41.3604743, 69.199203 41.3604845, 69.1991977 41.3604942, 69.199191 41.3605036, 69.1991819 41.3605114, 69.1991713 41.3605187, 69.1991591 41.3605241, 69.19914609999999 41.3605281, 69.19913219999999 41.3605303)",,,
5776368638,5776368599,0,609870686,cycleway,False,24.062,"LINESTRING (69.19917839999999 41.3607439, 69.19913219999999 41.3605303)",,,
5776368639,5776368640,0,609870687,cycleway,False,23.274,"LINESTRING (69.1990583 41.3601992, 69.1991038 41.3604057)",,,
5776368640,5776368639,0,609870687,cycleway,False,23.274,"LINESTRING (69.1991038 41.3604057, 69.1990583 41.3601992)",,,
5776368640,5776368642,0,609870684,cycleway,False,11.257000000000001,"LINESTRING (69.1991038 41.3604057, 69.19909749999999 41.3604067, 69.1990845 41.3604104, 69.1990729 41.360416, 69.199062 41.3604224, 69.19905319999999 41.3604304, 69.1990459 41.3604392, 69.19904080000001 41.3604486, 69.19903789999999 41.360459, 69.1990373 41.3604693, 69.1990387 41.3604796, 69.19904 41.3604825)",,,
5776368640,5776368637,0,609870684,cycleway,False,11.777999999999999,"LINESTRING (69.1991038 41.3604057, 69.19911089999999 41.3604045, 69.199125 41.3604042, 69.1991384 41.3604052, 69.1991519 41.3604081, 69.1991642 41.3604126, 69.1991755 41.3604188, 69.1991854 41.3604258, 69.1991934 41.3604342, 69.1991999 41.3604434, 69.19920380000001 41.3604533, 69.1992053 41.3604604)",,,
5776368642,5776424738,0,609870688,cycleway,False,9.43,"LINESTRING (69.19904 41.3604825, 69.1989287 41.3604971)",,,
5776368642,5776368599,0,609870684,cycleway,False,10.226999999999999,"LINESTRING (69.19904 41.3604825, 69.1990431 41.3604896, 69.1990486 41.3604994, 69.1990569 41.360508, 69.19906659999999 41.3605156, 69.1990783 41.3605214, 69.1990907 41.3605264, 69.1991039 41.360529, 69.19911829999999 41.3605308, 69.19913219999999 41.3605303)",,,
