u,v,key,osmid,oneway,name,highway,length,geometry,bridge,maxspeed,access,junction,lanes,tunnel,width,service
358522451,1140752838,0,"[98819432, 98819433, 104702332, 344407790]",False,,path,1191.7389999999996,"LINESTRING (34.806593 32.0999767, 34.805883 32.100112, 34.805629 32.100126, 34.805034 32.100144, 34.8029251 32.1001324, 34.802385 32.100146, 34.8019236 32.1001816, 34.8018171 32.1001943, 34.8009674 32.1004415, 34.8006658 32.1005325, 34.8005049 32.1005576, 34.8001268 32.1005133, 34.7997744 32.1004487, 34.7995719 32.1004422, 34.7993577 32.1004354, 34.7991654 32.100321, 34.799089 32.1002721, 34.799047 32.100178, 34.7989973 32.1000888, 34.798935 32.1, 34.798668 32.099856, 34.7984469 32.099797, 34.7983579 32.0997721, 34.7982901 32.0997532, 34.7979748 32.0996384, 34.7977416 32.0995294, 34.7975953 32.0994824, 34.797239 32.0993932, 34.7970298 32.0992916, 34.7966497 32.0989886, 34.7966324 32.0989805, 34.7964411 32.0988913, 34.7963922 32.0988685, 34.796129 32.098736, 34.7953978 32.0985841, 34.795359 32.098576, 34.795227 32.098508, 34.79499 32.098386, 34.7948148 32.0983336)",yes,,,,,,,
358522451,358530895,0,"[77885187, 104699091, 104699085, 61574755]",False,,path,246.80900000000003,"LINESTRING (34.806593 32.0999767, 34.806832 32.099866, 34.807119 32.099696, 34.8075642 32.0996347, 34.8076983 32.0996013, 34.807811 32.099562, 34.808253 32.099565, 34.808587 32.099631, 34.808888 32.099821, 34.8090095 32.0998441)",yes,,,,,,,
358522451,358522456,0,169067540,False,,path,110.36500000000001,"LINESTRING (34.806593 32.0999767, 34.80692 32.100022, 34.807224 32.100189, 34.807501 32.100519)",,,,,,,,
358522456,412816904,0,35206598,False,,path,48.37,"LINESTRING (34.807501 32.100519, 34.807545 32.1009524)",,,,,,,,
358522456,358522451,0,169067540,False,,path,110.365,"LINESTRING (34.807501 32.100519, 34.807224 32.100189, 34.80692 32.100022, 34.806593 32.0999767)",,,,,,,,
358522456,358522458,0,169067540,False,,path,70.199,"LINESTRING (34.807501 32.100519, 34.807747 32.100631, 34.808207 32.100568)",,,,,,,,
358522458,766753656,0,61410764,False,,path,68.868,"LINESTRING (34.808207 32.100568, 34.808226 32.1008387, 34.8082743 32.1009023, 34.8084891 32.1011052)",,,,,,,,
358522458,358522456,0,169067540,False,,path,70.199,"LINESTRING (34.808207 32.100568, 34.807747 32.100631, 34.807501 32.100519)",,,,,,,,
358522458,412816936,0,169067540,False,,path,82.41,"LINESTRING (34.808207 32.100568, 34.80837 32.10046, 34.808533 32.100263, 34.808669 32.1002137, 34.808773 32.10022, 34.8089036 32.1002348)",,,,,,,,
358523656,989012075,0,30780219,False,,path,128.099,"LINESTRING (34.8138782 32.101607, 34.8137651 32.1014814, 34.8132883 32.1010533, 34.813109 32.100954, 34.8128684 32.100861)",,,,,,,,
358530811,1129148200,0,34177093,False,,path,56.449,"LINESTRING (34.8253942 32.1060824, 34.8253406 32.1063941, 34.8252863 32.1065812)",,,,,,,,
358530811,1154542010,0,121665910,False,,path,73.761,"LINESTRING (34.8253942 32.1060824, 34.82522 32.1059016, 34.8251338 32.105717, 34.8251279 32.1054856)",,,,,,,,
358530811,1154542004,0,121665910,False,,path,130.779,"LINESTRING (34.8253942 32.1060824, 34.825733 32.1062051, 34.8259167 32.1063074, 34.8260898 32.1064532, 34.8262203 32.1065319, 34.8263991 32.1066206, 34.8265649 32.1066968)",,,,,,,,
358530890,535954836,0,"[77885188, 42837126]",False,,path,398.1119999999999,"LINESTRING (34.809128 32.096929, 34.8091158 32.0969319, 34.8089523 32.0969413, 34.8086961 32.0969693, 34.808385 32.0970054, 34.808247 32.0971218, 34.8082077 32.0971848, 34.8081191 32.0972547, 34.807886 32.0973761, 34.8077508 32.0974869, 34.8077287 32.0976478, 34.8077508 32.0978032, 34.8077662 32.0978911, 34.8077927 32.0980315, 34.8078745 32.0981269, 34.807965 32.0981737, 34.808049 32.0982018, 34.8081771 32.0982261, 34.8083671 32.0982598, 34.8085172 32.0982982, 34.8086718 32.0984011, 34.8087522 32.0984863, 34.808822 32.0986113, 34.8088837 32.0987363, 34.8089399 32.0988239, 34.8089637 32.0988611, 34.809221 32.0990404)",,,,,,,,
358530890,535954836,1,61574757,False,,path,250.24100000000004,"LINESTRING (34.809128 32.096929, 34.8093488 32.0971059, 34.8092893 32.0973419, 34.8090814 32.0981665, 34.8090539 32.0982946, 34.809056 32.098342, 34.809194 32.09854, 34.809221 32.0990404)",,,,,,,,
358530890,1154542010,0,121665910,False,,path,2716.5289999999986,"LINESTRING (34.809128 32.096929, 34.8095029 32.0968962, 34.8097014 32.0966381, 34.8098511 32.0965936, 34.8104037 32.0965542, 34.8110396 32.0964263, 34.8115256 32.0964047, 34.8116069 32.096392, 34.8121466 32.0963076, 34.812598 32.096237, 34.813089 32.096213, 34.813497 32.096274, 34.813652 32.096341, 34.81405 32.096656, 34.814546 32.097247, 34.814847 32.097928, 34.815044 32.098231, 34.815417 32.098463, 34.815721 32.098523, 34.815988 32.098484, 34.816301 32.098357, 34.816526 32.098381, 34.816861 32.098278, 34.817394 32.098323, 34.817851 32.098245, 34.818266 32.098152, 34.818591 32.097991, 34.819006 32.09764, 34.8191363 32.0971591, 34.819189 32.096777, 34.819241 32.096636, 34.819374 32.09652, 34.81945 32.096523, 34.819857 32.096642, 34.82009 32.096815, 34.82026 32.097125, 34.82082 32.097861, 34.821288 32.098231, 34.8215184 32.0986415, 34.8216176 32.0987665, 34.8217487 32.0989091, 34.8217759 32.098946, 34.8218349 32.0990101, 34.8218658 32.0990775, 34.8219034 32.0991823, 34.82191 32.0992686, 34.8218859 32.0993641, 34.8218268 32.0995072, 34.8217751 32.0996396, 34.8217221 32.0997612, 34.8216735 32.0998398, 34.821605 32.099924, 34.8215365 32.1000063, 34.8212716 32.1002846, 34.8211376 32.1004254, 34.821016 32.100537, 34.820845 32.100798, 34.820796 32.101057, 34.820914 32.101397, 34.821166 32.101708, 34.821491 32.101855, 34.8215757 32.101885, 34.82239 32.102173, 34.8227038 32.1022194, 34.822965 32.102258, 34.8231398 32.1022692, 34.8232505 32.1022742, 34.823353 32.1022942, 34.8234339 32.1023273, 34.8234989 32.1024006, 34.8235509 32.1025036, 34.823585 32.1025975, 34.8235823 32.1026833, 34.8235409 32.1027667, 34.8234727 32.1028233, 34.8230275 32.1030403, 34.822807 32.1031499, 34.8227142 32.1032074, 34.8226071 32.1033947, 34.822569 32.1035178, 34.8225763 32.1036229, 34.822606 32.103737, 34.822828 32.103997, 34.82324 32.104294, 34.82331 32.1044317, 34.823403 32.1044771, 34.8235439 32.1044938, 34.8237328 32.1045517, 34.823809 32.104575, 34.824532 32.104942, 34.824831 32.105045, 34.8249917 32.1051465, 34.8250883 32.1052214, 34.8251234 32.1053111, 34.8251279 32.1054856)",,,,,,,,
358530895,412816936,0,35206609,False,,path,44.574,"LINESTRING (34.8090095 32.0998441, 34.8089036 32.1002348)",,,,,,,,
358530895,358522451,0,"[77885187, 61574755, 104699085, 104699091]",False,,path,246.80899999999997,"LINESTRING (34.8090095 32.0998441, 34.808888 32.099821, 34.808587 32.099631, 34.808253 32.099565, 34.807811 32.099562, 34.8076983 32.0996013, 34.8075642 32.0996347, 34.807119 32.099696, 34.806832 32.099866, 34.806593 32.0999767)",yes,,,,,,,
358530895,535954836,0,61574756,False,,path,91.96100000000001,"LINESTRING (34.8090095 32.0998441, 34.8091085 32.0995311, 34.809223 32.099153, 34.8092207 32.0991045, 34.809221 32.0990404)",,,,,,,,
387496221,476369760,0,261832904,False,,path,106.637,"LINESTRING (34.7856514 32.0799283, 34.7867775 32.0798319)",,,,,,,,
387496221,489536104,0,261832904,False,,path,208.724,"LINESTRING (34.7856514 32.0799283, 34.7834419 32.0800648)",,,,,,,,
387496221,387496059,0,33826860,True,בריינין,residential,83.347,"LINESTRING (34.7856514 32.0799283, 34.7855468 32.079184)",,30,,,,,,
392067318,1129148200,0,34177093,False,,path,6.383,"LINESTRING (34.8252765 32.106638, 34.8252863 32.1065812)",,,,,,,,
412816904,358522456,0,35206598,False,,path,48.37,"LINESTRING (34.807545 32.1009524, 34.807501 32.100519)",,,,,,,,
412816904,639608142,0,50341907,False,,path,159.289,"LINESTRING (34.807545 32.1009524, 34.8079532 32.1013768, 34.8080069 32.1017222, 34.8083141 32.1021916)",,,,,,,,
412816904,766753656,0,98978116,False,,path,90.859,"LINESTRING (34.807545 32.1009524, 34.80797 32.101056, 34.8084891 32.1011052)",,,,,,,,
412816936,358530895,0,35206609,False,,path,44.574,"LINESTRING (34.8089036 32.1002348, 34.8090095 32.0998441)",,,,,,,,
412816936,1836429120,0,169067540,False,,path,4.681,"LINESTRING (34.8089036 32.1002348, 34.8088602 32.1002553)",,,,,,,,
412816936,989012075,0,30780219,False,,path,415.71599999999995,"LINESTRING (34.8089036 32.1002348, 34.809113 32.100359, 34.8092687 32.1004967, 34.809468 32.100673, 34.809928 32.100863, 34.8100175 32.1009028, 34.8105007 32.1007761, 34.8106635 32.1006761, 34.8108351 32.1006405, 34.811417 32.10077, 34.8120958 32.1006216, 34.8122583 32.1006081, 34.8124425 32.100658, 34.8128684 32.100861)",,,,,,,,
412816936,412844767,0,35206609,False,,path,106.43799999999999,"LINESTRING (34.8089036 32.1002348, 34.8087971 32.100496, 34.8086072 32.1011576)",,,,,,,,
412816936,358522458,0,169067540,False,,path,82.41,"LINESTRING (34.8089036 32.1002348, 34.808773 32.10022, 34.808669 32.1002137, 34.808533 32.100263, 34.80837 32.10046, 34.808207 32.100568)",,,,,,,,
412817027,639608142,0,35206609,False,,path,29.898,"LINESTRING (34.808235 32.102452, 34.8083141 32.1021916)",,,,,,,,
412817027,3727349791,0,368894183,False,,cycleway,30.339,"LINESTRING (34.808235 32.102452, 34.8085253 32.1025702)",,,,,,,,
412817027,412817028,0,35206609,False,,path,117.31,"LINESTRING (34.808235 32.102452, 34.8071691 32.1029001, 34.8071194 32.102921)",,,,,,,,
412817028,412817027,0,35206609,False,,path,117.31,"LINESTRING (34.8071194 32.102921, 34.8071691 32.1029001, 34.808235 32.102452)",,,,,,,,
412844767,639608142,0,35206609,False,,path,118.244,"LINESTRING (34.8086072 32.1011576, 34.8083141 32.1021916)",,,,,,,,
412844767,766753656,0,98978116,False,,path,12.558,"LINESTRING (34.8086072 32.1011576, 34.8084891 32.1011052)",,,,,,,,
412844767,412816936,0,35206609,False,,path,106.43799999999999,"LINESTRING (34.8086072 32.1011576, 34.8087971 32.100496, 34.8089036 32.1002348)",,,,,,,,
417774500,1123297112,0,174274995,False,,path,20.588,"LINESTRING (34.8246126 32.1227565, 34.8243962 32.1227828)",,,,,,,,
417774500,1168434910,0,174274995,False,,path,73.21600000000001,"LINESTRING (34.8246126 32.1227565, 34.8245822 32.1225653, 34.8247489 32.1221217)",,,,,,,,
417774500,471562661,0,30451254,False,,cycleway,229.46,"LINESTRING (34.8246126 32.1227565, 34.8236534 32.1224437, 34.8234998 32.1223972, 34.8230143 32.1222631, 34.8224028 32.1219178)",,,,,,,,
454131362,344929187,0,"[30146042, 490956683]",False,שביל בן גוריון,cycleway,626.575,"LINESTRING (34.770095 32.0855318, 34.7702075 32.0855015, 34.7704762 32.0854291, 34.7709448 32.0853029, 34.7724005 32.0849107, 34.7724832 32.0848932, 34.7736193 32.0845799, 34.7742584 32.0843995, 34.7743388 32.0843745, 34.7748207 32.0842484, 34.7752491 32.0840691, 34.775822 32.083797, 34.7762866 32.0835425)",yes,,,,,,,
476369760,387496221,0,261832904,False,,path,106.637,"LINESTRING (34.7867775 32.0798319, 34.7856514 32.0799283)",,,,,,,,
476369760,287237779,0,30146286,True,רבקה זיו,residential,8.554,"LINESTRING (34.7867775 32.0798319, 34.7867881 32.0799083)",,30,,,,,,
476369760,4415218501,0,261832904,False,,path,179.8,"LINESTRING (34.7867775 32.0798319, 34.78856 32.0796704, 34.7886757 32.0796696)",,,,,,,,
489536104,387496221,0,261832904,False,,path,208.724,"LINESTRING (34.7834419 32.0800648, 34.7856514 32.0799283)",,,,,,,,
489536104,2701012461,0,261832904,False,,path,190.572,"LINESTRING (34.7834419 32.0800648, 34.7814266 32.0802113)",,,,,,,,
489536104,289089574,0,26301613,True,דובנוב,residential,80.327,"LINESTRING (34.7834419 32.0800648, 34.7833388 32.0793477)",,30,,,,,,
535954836,358530895,0,61574756,False,,path,91.961,"LINESTRING (34.809221 32.0990404, 34.8092207 32.0991045, 34.809223 32.099153, 34.8091085 32.0995311, 34.8090095 32.0998441)",,,,,,,,
535954836,358530890,0,"[77885188, 42837126]",False,,path,398.11199999999997,"LINESTRING (34.809221 32.0990404, 34.8089637 32.0988611, 34.8089399 32.0988239, 34.8088837 32.0987363, 34.808822 32.0986113, 34.8087522 32.0984863, 34.8086718 32.0984011, 34.8085172 32.0982982, 34.8083671 32.0982598, 34.8081771 32.0982261, 34.808049 32.0982018, 34.807965 32.0981737, 34.8078745 32.0981269, 34.8077927 32.0980315, 34.8077662 32.0978911, 34.8077508 32.0978032, 34.8077287 32.0976478, 34.8077508 32.0974869, 34.807886 32.0973761, 34.8081191 32.0972547, 34.8082077 32.0971848, 34.808247 32.0971218, 34.808385 32.0970054, 34.8086961 32.0969693, 34.8089523 32.0969413, 34.8091158 32.0969319, 34.809128 32.096929)",,,,,,,,
535954836,358530890,1,61574757,False,,path,250.241,"LINESTRING (34.809221 32.0990404, 34.809194 32.09854, 34.809056 32.098342, 34.8090539 32.0982946, 34.8090814 32.0981665, 34.8092893 32.0973419, 34.8093488 32.0971059, 34.809128 32.096929)",,,,,,,,
639608142,412817027,0,35206609,False,,path,29.898,"LINESTRING (34.8083141 32.1021916, 34.808235 32.102452)",,,,,,,,
639608142,412844767,0,35206609,False,,path,118.244,"LINESTRING (34.8083141 32.1021916, 34.8086072 32.1011576)",,,,,,,,
639608142,1836429116,0,50341907,False,,path,0.205,"LINESTRING (34.8083141 32.1021916, 34.8083162 32.1021921)",,,,,,,,
639608142,412816904,0,50341907,False,,path,159.289,"LINESTRING (34.8083141 32.1021916, 34.8080069 32.1017222, 34.8079532 32.1013768, 34.807545 32.1009524)",,,,,,,,
766753656,412844767,0,98978116,False,,path,12.558,"LINESTRING (34.8084891 32.1011052, 34.8086072 32.1011576)",,,,,,,,
766753656,358522458,0,61410764,False,,path,68.868,"LINESTRING (34.8084891 32.1011052, 34.8082743 32.1009023, 34.808226 32.1008387, 34.808207 32.100568)",,,,,,,,
766753656,412816904,0,98978116,False,,path,90.859,"LINESTRING (34.8084891 32.1011052, 34.80797 32.101056, 34.807545 32.1009524)",,,,,,,,
989012075,412816936,0,30780219,False,,path,415.71600000000007,"LINESTRING (34.8128684 32.100861, 34.8124425 32.100658, 34.8122583 32.1006081, 34.8120958 32.1006216, 34.811417 32.10077, 34.8108351 32.1006405, 34.8106635 32.1006761, 34.8105007 32.1007761, 34.8100175 32.1009028, 34.809928 32.100863, 34.809468 32.100673, 34.8092687 32.1004967, 34.809113 32.100359, 34.8089036 32.1002348)",,,,,,,,
989012075,358523656,0,30780219,False,,path,128.099,"LINESTRING (34.8128684 32.100861, 34.813109 32.100954, 34.8132883 32.1010533, 34.8137651 32.1014814, 34.8138782 32.101607)",,,,,,,,
989012075,989012105,0,85298236,False,,path,348.733,"LINESTRING (34.8128684 32.100861, 34.8127197 32.1011215, 34.812233 32.1020928, 34.8119024 32.1025203, 34.8115103 32.1030368, 34.8113211 32.1032392, 34.8110509 32.1035774)",,,,,,,,
1123297086,7062975044,0,183774873,False,,path,9.109,"LINESTRING (34.8361154 32.1090446, 34.8361498 32.1090738, 34.8361837 32.1091026)",,,,,,,,
1123297086,1123297089,0,"[183774873, 183774875]",False,,path,1121.588,"LINESTRING (34.8361154 32.1090446, 34.8360877 32.1090211, 34.8360473 32.1090264, 34.8360108 32.1090289, 34.8359632 32.1090248, 34.8359327 32.1090198, 34.835897 32.1090046, 34.8349 32.1081574, 34.8337924 32.1073346, 34.833322 32.1071017, 34.8331724 32.1070623, 34.8327762 32.1069581, 34.8322561 32.1069254, 34.8315354 32.1069109, 34.831047 32.1069633, 34.8303664 32.1070344, 34.8302515 32.1070385, 34.8300687 32.1070687, 34.830025 32.107117, 34.8299649 32.1071644, 34.8298753 32.1070823, 34.829782 32.1070839, 34.8295792 32.1071166, 34.8295348 32.1071609, 34.8295009 32.1071512, 34.8294641 32.1071408, 34.8294225 32.1071481, 34.829393 32.1071674, 34.829363 32.107187, 34.8292501 32.1071579, 34.8282112 32.1073219, 34.8280558 32.1073443, 34.8277587 32.1074396, 34.8276055 32.1075239, 34.8274708 32.1076161, 34.8273719 32.1078159, 34.8271345 32.1083387, 34.8267559 32.1092847)",,,,,,,,
1123297086,381540455,0,33492140,False,921,residential,79.69600000000001,"LINESTRING (34.8361154 32.1090446, 34.8360226 32.1091122, 34.83548 32.1095179)",,30,,,,,,
1123297086,1836381515,0,33492140,False,921,residential,16.362,"LINESTRING (34.8361154 32.1090446, 34.83615 32.1090225, 34.8362411 32.1089435)",,30,,,,,,
1123297088,4067820155,0,493288335,False,,path,92.044,"LINESTRING (34.8258302 32.1103471, 34.825913 32.1101914, 34.8262314 32.1095923)",,,,,,,,
1123297088,2763587056,0,493288335,False,,path,225.91600000000003,"LINESTRING (34.8258302 32.1103471, 34.8255918 32.1107186, 34.8254939 32.1110212, 34.825441 32.1111846, 34.8253624 32.1114274, 34.8251168 32.1121861, 34.8250927 32.1122709)",,,,,,,,
1123297088,418860662,0,32786557,False,קהילת יאסי,tertiary,58.041,"LINESTRING (34.8258302 32.1103471, 34.8256984 32.1103063, 34.8252515 32.1101677)",,30,,,,,,
1123297088,369339273,0,32786557,False,קהילת יאסי,tertiary,20.328,"LINESTRING (34.8258302 32.1103471, 34.8258869 32.1103669, 34.8260305 32.1104152)",,30,,,,,,
1123297089,1849577743,0,183774875,False,,path,81.679,"LINESTRING (34.8267559 32.1092847, 34.8263592 32.1099379)",,,,,,,,
1123297089,416615007,0,35554880,True,ישראל אשכנזי,residential,58.44,"LINESTRING (34.8267559 32.1092847, 34.8273339 32.1094758)",,30,,,,,,
1123297089,1123297086,0,"[183774873, 183774875]",False,,path,1121.5880000000002,"LINESTRING (34.8267559 32.1092847, 34.8271345 32.1083387, 34.8273719 32.1078159, 34.8274708 32.1076161, 34.8276055 32.1075239, 34.8277587 32.1074396, 34.8280558 32.1073443, 34.8282112 32.1073219, 34.8292501 32.1071579, 34.829363 32.107187, 34.829393 32.1071674, 34.8294225 32.1071481, 34.8294641 32.1071408, 34.8295009 32.1071512, 34.8295348 32.1071609, 34.8295792 32.1071166, 34.829782 32.1070839, 34.8298753 32.1070823, 34.8299649 32.1071644, 34.830025 32.107117, 34.8300687 32.1070687, 34.8302515 32.1070385, 34.8303664 32.1070344, 34.831047 32.1069633, 34.8315354 32.1069109, 34.8322561 32.1069254, 34.8327762 32.1069581, 34.8331724 32.1070623, 34.833322 32.1071017, 34.8337924 32.1073346, 34.8349 32.1081574, 34.835897 32.1090046, 34.8359327 32.1090198, 34.8359632 32.1090248, 34.8360108 32.1090289, 34.8360473 32.1090264, 34.8360877 32.1090211, 34.8361154 32.1090446)",,,,,,,,
1123297091,3264872351,0,174274992,False,,path,55.662000000000006,"LINESTRING (34.8255688 32.1143474, 34.8255629 32.1142561, 34.8255437 32.1139264, 34.8255279 32.1138485)",,,,,,,,
1123297091,4776641514,0,174274992,False,,path,175.635,"LINESTRING (34.8255688 32.1143474, 34.8255748 32.1144586, 34.8256208 32.1149287, 34.8256487 32.1158433, 34.8256602 32.1159243)",,,,,,,,
1123297091,416632613,0,35556138,False,וולמן,residential,160.483,"LINESTRING (34.8255688 32.1143474, 34.8256251 32.1143524, 34.8257928 32.1143766, 34.8261492 32.1145239, 34.8264176 32.1146391, 34.8266464 32.1147367, 34.8271114 32.1149406)",,30,,,,,,
1123297091,416633132,0,35556138,False,וולמן,residential,22.833,"LINESTRING (34.8255688 32.1143474, 34.8254738 32.1143428, 34.8253266 32.1143468)",,30,,,,,,
1123297092,1168996574,0,96931585,False,,path,41.875,"LINESTRING (34.8250859 32.1220588, 34.8251045 32.1219748, 34.8251681 32.1216887)",,,,,,,,
1123297092,369338839,0,271407934,False,"צה""ל",tertiary,59.976,"LINESTRING (34.8250859 32.1220588, 34.825216 32.1220788, 34.8257125 32.1221553)",,30,,,,,,
1123297092,1164229476,0,271407934,False,"צה""ל",tertiary,20.740000000000002,"LINESTRING (34.8250859 32.1220588, 34.8249945 32.1220403, 34.8248752 32.1220053)",,30,,,,,,
1123297112,417774500,0,174274995,False,,path,20.588,"LINESTRING (34.8243962 32.1227828, 34.8246126 32.1227565)",,,,,,,,
1129148200,392067318,0,34177093,False,,path,6.383,"LINESTRING (34.8252863 32.1065812, 34.8252765 32.106638)",,,,,,,,
