u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,width,tunnel,bridge,est_width,access
21097750,1307555570,0,115832916,,,path,,False,7.744,"LINESTRING (9.2073281 48.7974607, 9.207429899999999 48.7974795)",,3,,,,
21097750,1307556473,0,120802595,,,cycleway,,False,41.28,"LINESTRING (9.2073281 48.7974607, 9.207376699999999 48.7975229, 9.207440099999999 48.7975952, 9.207512100000001 48.7976529, 9.2075879 48.797711, 9.207676299999999 48.7977431)",,2.5,,,,
21097750,21097754,0,120802595,,,cycleway,,False,52.712999999999994,"LINESTRING (9.2073281 48.7974607, 9.2072775 48.7974342, 9.207198 48.7974155, 9.207106599999999 48.7974175, 9.2069638 48.7974227, 9.206856399999999 48.7974035, 9.206758000000001 48.7973671, 9.206713300000001 48.7973367, 9.2066888 48.7973097)",,2.5,,,,
21097754,21097750,0,120802595,,,cycleway,,False,52.713,"LINESTRING (9.2066888 48.7973097, 9.206713300000001 48.7973367, 9.206758000000001 48.7973671, 9.206856399999999 48.7974035, 9.2069638 48.7974227, 9.207106599999999 48.7974175, 9.207198 48.7974155, 9.2072775 48.7974342, 9.2073281 48.7974607)",,2.5,,,,
21097754,1307555570,0,115832915,,,path,,False,60.323,"LINESTRING (9.2066888 48.7973097, 9.2067566 48.7973178, 9.2068461 48.7973376, 9.2069574 48.7973544, 9.207076900000001 48.7973555, 9.207202799999999 48.7973588, 9.2072672 48.7973712, 9.2073503 48.7974118, 9.207429899999999 48.7974795)",,3,,,,
21097754,21097756,0,215420375,,,path,,False,25.951,"LINESTRING (9.2066888 48.7973097, 9.206516000000001 48.7972153, 9.2064047 48.7971713)",,3,,,,
31231176,293531853,0,343537520,,,cycleway,,True,8.535,"LINESTRING (9.1469483 48.7841114, 9.146867200000001 48.7841665)",,1.5,,,,
35627616,35627615,0,444874452,,,path,,True,10.466000000000001,"LINESTRING (9.2047755 48.8082885, 9.2047338 48.8082912, 9.204727099999999 48.8083113, 9.204708 48.8083555)",,,,,,
38690543,2846298878,0,573500373,,,cycleway,,False,11.318999999999999,"LINESTRING (9.2034953 48.8179928, 9.203494600000001 48.8180627, 9.2034983 48.8180945)",,,,,,
54875512,3511072375,0,"[344357600, 344357601, 344357602, 344357609, 344357612, 344357598]",,,"['cycleway', 'path']",,True,442.8650000000001,"LINESTRING (9.1492136 48.8108426, 9.148937999999999 48.810884, 9.148855899999999 48.8108675, 9.148748100000001 48.8108476, 9.148515400000001 48.8108017, 9.1481973 48.8107456, 9.147832299999999 48.8106909, 9.1474612 48.8106478, 9.1473815 48.8106386, 9.1472357 48.8105679, 9.1471558 48.8105585, 9.147029 48.8105444, 9.1469167 48.8105364, 9.1467876 48.8105806, 9.146771299999999 48.81058, 9.146611 48.8105695, 9.146346599999999 48.8105521, 9.145885699999999 48.8105223, 9.145546899999999 48.8105023, 9.1453106 48.8104845, 9.1451829 48.8104216, 9.1450674 48.8104175, 9.144941599999999 48.8104111, 9.144788800000001 48.8104562, 9.144743500000001 48.8104555, 9.1445396 48.8104449, 9.1440682 48.8104202, 9.143599500000001 48.8103939, 9.143333 48.810378)",,,,,,
59647122,7711358408,0,826082418,,,cycleway,,True,16.49,"LINESTRING (9.129796300000001 48.7213117, 9.1299109 48.7212052, 9.129928400000001 48.7211918)",,,,,,
59653321,285388103,0,7975274,,,cycleway,,False,23.642,"LINESTRING (9.1536303 48.8110155, 9.1535122 48.8110011, 9.153489 48.8109457, 9.153458199999999 48.8108724)",,,,,,
59720930,1668401839,0,105068711,,,cycleway,,False,8.994,"LINESTRING (9.213727499999999 48.8260164, 9.2138163 48.8259605)",,,,,,
60015144,551563,0,159538057,,,cycleway,,True,49.45,"LINESTRING (9.1310073 48.7285747, 9.1307597 48.7285647, 9.130610799999999 48.7285711, 9.1303438 48.7285227)",,,,,,
60015144,60015143,0,621968505,,,path,,False,252.47199999999998,"LINESTRING (9.1310073 48.7285747, 9.131971200000001 48.7285657, 9.132514 48.7285579, 9.133041800000001 48.7285335, 9.133456799999999 48.7285048, 9.1339337 48.7284685, 9.1344376 48.7284221)",,3,,,,
60015144,60015148,0,"[651947544, 8029338]",,,path,,False,316.627,"LINESTRING (9.1310073 48.7285747, 9.130932 48.7285938, 9.130902600000001 48.7286411, 9.1309208 48.7288504, 9.130911299999999 48.7289604, 9.130887599999999 48.7290304, 9.130801699999999 48.7291606, 9.1307045 48.7292814, 9.1308633 48.7303263, 9.131007500000001 48.7313446)",,3,,,,
71711299,12620668,0,27257804,2,Friedrichsplatz,cycleway,,False,18.456000000000003,"LINESTRING (9.177632900000001 48.7829892, 9.1775345 48.7830289, 9.177412 48.7830686)",,,,,,
117791242,248209217,0,354909248,,,cycleway,,False,21.965,"LINESTRING (9.205015599999999 48.7275063, 9.204974699999999 48.7274576, 9.2049685 48.7273911, 9.2049973 48.7273183)",,,,,,
130137937,137537375,0,360930780,,,cycleway,,True,39.266999999999996,"LINESTRING (9.2136066 48.8003665, 9.213576099999999 48.8004557, 9.213521099999999 48.8005371, 9.2134786 48.8005735, 9.2134333 48.8006332, 9.2133447 48.8006469)",,2.2,,,,
137537375,1182983483,0,233168761,,,path,,False,6.013,"LINESTRING (9.2133447 48.8006469, 9.2132626 48.8006465)",,,,,,
154506012,3033705175,0,485900650,,,cycleway,,True,9.798,"LINESTRING (9.2250614 48.8181489, 9.225194699999999 48.8181411)",,,,,,
227140151,3743397028,0,622961421,,,cycleway,,True,17.415,"LINESTRING (9.1116774 48.8136995, 9.1114658 48.813628)",,,,,,
245389105,245389112,0,22811312,,,cycleway,,False,136.46699999999998,"LINESTRING (9.080070600000001 48.7274859, 9.080042600000001 48.7274393, 9.0799219 48.7273172, 9.079714600000001 48.7270967, 9.079560600000001 48.7267823, 9.0795203 48.7266108, 9.079455100000001 48.7263463)",,,,,,
245389112,245389105,0,22811312,,,cycleway,,False,136.467,"LINESTRING (9.079455100000001 48.7263463, 9.0795203 48.7266108, 9.079560600000001 48.7267823, 9.079714600000001 48.7270967, 9.0799219 48.7273172, 9.080042600000001 48.7274393, 9.080070600000001 48.7274859)",,,,,,
246647403,3146661262,0,"[368761448, 309328768]",,,"['cycleway', 'path']",,False,95.64999999999999,"LINESTRING (9.1669751 48.7789795, 9.166866499999999 48.7789824, 9.1668345 48.7790325, 9.1666478 48.77931, 9.166461699999999 48.7795899, 9.1664335 48.7797136)",,3,,,,
248209217,117791242,0,354909248,,,cycleway,,False,21.965,"LINESTRING (9.2049973 48.7273183, 9.2049685 48.7273911, 9.204974699999999 48.7274576, 9.205015599999999 48.7275063)",,,,,,
249170587,1426313422,0,23621947,,,cycleway,,True,8.302,"LINESTRING (9.1061923 48.8201941, 9.106169100000001 48.8201431, 9.106155299999999 48.8201237)",,,,,,
249578202,3603201026,0,"[346762344, 358296767]",,Tübinger Straße,"['path', 'residential']",30,False,34.382,"LINESTRING (9.172152499999999 48.7696312, 9.1722266 48.7696457, 9.1722693 48.7696991, 9.172310299999999 48.7697499, 9.1723298 48.7697741, 9.172351600000001 48.7698244, 9.172348299999999 48.7698384, 9.17235 48.7698594, 9.172362400000001 48.7698835)",,"['4', '10']",,,,
249578202,4315787106,0,"[432379968, 432575528, 432575530, 432575531, 360779694]",,Tübinger Straße,residential,30,False,263.50199999999995,"LINESTRING (9.172152499999999 48.7696312, 9.1720679 48.7695121, 9.1720211 48.7694569, 9.171557999999999 48.7688771, 9.171533500000001 48.7688463, 9.171322999999999 48.7685829, 9.171294100000001 48.7685468, 9.171193799999999 48.7684244, 9.171147400000001 48.7683661, 9.1711145 48.7683247, 9.170882199999999 48.7680312, 9.1706109 48.7676826, 9.1705709 48.7676323, 9.1704934 48.7675291)",,11,,,,
255882805,59848091,0,23621948,,,cycleway,,True,25.472,"LINESTRING (9.104786900000001 48.820055, 9.105106899999999 48.8201449)",,,,,,
255882805,255882806,0,804172086,,,path,,False,15.443,"LINESTRING (9.104786900000001 48.820055, 9.1045771 48.8200406)",,3,,,,
