u,v,key,osmid,lanes,name,highway,maxspeed,oneway,length,geometry,ref,tunnel,width,bridge,est_width,access
1746675042,5814515233,0,343685697,3,Silberburgstraße,residential,30,False,8.891,"LINESTRING (9.1641329 48.7773925, 9.164186900000001 48.7773209)",,,,,,
1746675042,7914214,0,343957118,2,Silberburgstraße,residential,30,False,17.734,"LINESTRING (9.1641329 48.7773925, 9.1640012 48.7775263)",,,,,,
2179822660,28839660,0,567589859,2,Schmidener Straße,secondary,70,False,8.161,"LINESTRING (9.246069 48.8218159, 9.2460091 48.821754)",K 9512,,,,,
2387475716,1335326186,0,549148828,2,Arlbergstraße,secondary,50,False,20.368,"LINESTRING (9.249716100000001 48.7819074, 9.249704100000001 48.7817244)",L 1198,,,,,
2387475716,242600047,0,549148828,2,Arlbergstraße,secondary,50,False,6.467,"LINESTRING (9.249716100000001 48.7819074, 9.2497227 48.7819654)",L 1198,,,,,
3141301485,252753260,0,24483134,2,Solitudestraße,tertiary,50,False,8.941,"LINESTRING (9.0986609 48.8009604, 9.0987317 48.8010259)",K 9503,,,,,
3141301485,254680712,0,24483134,2,Solitudestraße,tertiary,50,False,9.562,"LINESTRING (9.0986609 48.8009604, 9.0985877 48.8008892)",K 9503,,,,,
3566837081,1048704352,0,23163014,2,Arlbergstraße,secondary,50,False,25.289,"LINESTRING (9.2501198 48.7808445, 9.249982299999999 48.7810531)",L 1198,,,,,
3926878973,5498172323,0,154049414,3,Schmidener Straße,secondary,50,False,8.573,"LINESTRING (9.245761699999999 48.8214829, 9.245819900000001 48.8215498)",K 9512,,,,,
3926878973,1528811309,0,154049414,3,Schmidener Straße,secondary,50,False,31.162,"LINESTRING (9.245761699999999 48.8214829, 9.245559200000001 48.8212364)",K 9512,,,,,
4461260236,254680721,0,356218775,2,Solitudestraße,tertiary,50,False,54.333,"LINESTRING (9.099016600000001 48.8013006, 9.099435 48.8017041)",K 9503,,,,,
4461260236,252753260,0,356218775,2,Solitudestraße,tertiary,50,False,36.992,"LINESTRING (9.099016600000001 48.8013006, 9.0987317 48.8010259)",K 9503,,,,,
5304720758,1335536407,0,549148827,3,Augsburger Straße,secondary,50,False,9.683,"LINESTRING (9.249676900000001 48.7822468, 9.2496986 48.7821609)",L 1198,,,,,
